"Title","Release Year","Locations","Fun Facts","Production Company","Distributor","Director","Writer","Actor 1","Actor 2","Actor 3","Point","Longitude","Latitude","Analysis Neighborhood","Supervisor District","data_as_of","data_loaded_at"
"The Nightmare Before Christmas","1993",,,"Touchstone Pictures","Buena Vista Pictures","Henry Selick","Tim Burton","Danny Elfman","Catherine O'Hara",,,,,,,"2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"Tweek City","2005",,,"Tweek City LLC","Maverick Entertainment Group","Eric G. Johnson","Eric G. Johnson","Giuseppe Andrews",,,,,,,,"2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"Mona Lisa Smile","2003",,,"Revolution Studios","Columbia Pictures","Mike Newell","Lawrence Konner","Julia Roberts","Kirsten Dunst",,,,,,,"2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"Fathers' Day","1997",,,"Northern Lights Entertainment","Columbia Broadcasting System","Ivan Reitman","Lowell Ganz","Robin Williams","Billy Crystal",,,,,,,"2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"Psych-Out","1968",,,"Dick Clark Productions","American International Pictures (AIP)","Richard Rush","Betty Tusher","Jack Nicholson","Susan Strasberg","Dean Stockwell",,,,,,"2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"Tin Cup","1996",,,"Regency Enterprises","Warner Bros. Pictures","Ron Shelton","John Norville","Kevin Costner","Rene Russo",,,,,,,"2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"Happy Gilmore","1996",,,"Brillstein-Grey Entertainment","Universal Pictures","Dennis Dugan","Tim Herlihy","Adam Sandler",,,,,,,,"2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"Julie and Jack","2003",,,"Moviehead Pictures","Echelon Entertainment","James Nguyen","James Nguyen & Joe Bright","Jenn Gotzon","Tippi Hedren",,,,,,,"2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"Chance Season 2","2017","Central St between Haight and Page St",,"TVM Productions Inc.","Hulu","Rozann Dawson","Alexandra Cunningham","Hugh Laurie","Greta Lee","Ethan Suplee","POINT (-122.4261014 37.7725136)","-122.4261014","37.7725136","Hayes Valley","8","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"I Remember Mama","1948","Fairmont Hotel (950 Mason Street, Nob Hill)","In 1945 the Fairmont hosted the United Nations Conference on International Organization as delegates arrived to draft a charter for the organization. The U.S. Secretary of State, Edward Stettinius drafted the charter in the hotel's Garden Room.","RKO Radio Pictures","RKO Radio Pictures","George Stevens","DeWitt Bodeen","Irene Dunne","Barbara Bel Geddes","Oskar Homolka","POINT (-122.4100923 37.7923883)","-122.4100923","37.7923883","Nob Hill","3","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
