"Title","Release Year","Locations","Fun Facts","Production Company","Distributor","Director","Writer","Actor 1","Actor 2","Actor 3","Point","Longitude","Latitude","Analysis Neighborhood","Supervisor District","data_as_of","data_loaded_at"
"It Came From Beneath the Sea","1955","Golden Gate Bridge","With 23 miles of ladders and 300,000 rivets in each tower, the Golden Gate Bridge was the world's longest span when it opened in 1937.","Clover Productions","Columbia Pictures","Robert Gordon","George Worthing Yates","Kenneth Tobey","Faith Domergue","Donald Curtis","POINT (-122.4785598 37.8199109)","-122.4785598","37.8199109",,,"2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"Etruscan Smile","2017","San Francisco City Hall","The museum party interiors were shot in the Historic San Francisco City Hall.","Po Valley Productions, LLC","TBD","Oded Binnun/ Michel Brezis","Sarah Bellwood, Michal Lali Kagan, Michael McGowan Amital Stern, Jose Luis Sampedro","Brian Cox","Roseanne Arquette","Thora Birch","POINT (-122.4192417 37.779275)","-122.4192417","37.779275","Tenderloin","5","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"The Towering Inferno","1974","Firestation #38 (California & Laguna)",,"Irwin Allen Productions","Twentieth Century - Fox","John Guillermin","Stirling Silliphant","Steve McQueen","Paul Newman","William Holden","POINT (-122.4298494 37.789629)","-122.4298494","37.789629","Pacific Heights","2","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"The Enforcer","1976","Sutter & Webster Streets",,"Warner Bros. Pictures","Warner Bros. Pictures","James Fargo","Stirling Silliphant","Clint Eastwood","Tyne Daly","Harry Guardino","POINT (-122.4314924 37.7863287)","-122.4314924","37.7863287","Pacific Heights","5","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"Ant-Man and the Wasp","2018","Little Embarcadero btwn Powell and Mason",,"PYM Particles Productions II, LLC","Walt Disney Studios Motion Pictures","Peyton Reed","Chris McKenna","Paul Rudd","Evangeline Lilly","Michael Douglas","POINT (-122.4152298 37.8052723)","-122.4152298","37.8052723","North Beach","3","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"Sense8","2015","Van Ness and 12th St.","A couple reminisces on the moment they first fell in love","Unpronounceable Productions, LLC","Netflix","The Wachowskis","The Wachowskis","Jamie Clayton",,,"POINT (-122.4188895 37.7735588)","-122.4188895","37.7735588","Mission","6","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"Steve Jobs","2015","Mission St and 5th St",,"RDF Productions LLC","Universal Pictures","Danny Boyle","Aaron Sorkin","Michael Fassbender","Kate Winslet","Seth Rogen","POINT (-122.4065086 37.7827307)","-122.4065086","37.7827307","South of Market","6","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"Vertigo","1958","Palace of Fine Arts (3301 Lyon Street)","The original Palace was built for the 1915 Panama-Pacific Exposition, and completely destroyed in 1964. It was rebuilt in 1965.","Alfred J. Hitchcock Productions","Paramount Pictures","Alfred Hitchcock","Alec Coppel","James Stewart","Kim Novak","Barbara Bel Geddes","POINT (-122.4491285 37.8026694)","-122.4491285","37.8026694","Marina","2","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"Blue Jasmine","2013","303-305 S. Van Ness",,"Perdido Productions","Sony Pictures Classics","Woody Allen","Woody Allen","Cate Blanchett","Alec Baldwin","Peter Sarsgaard","POINT (-122.4166188 37.7607321)","-122.4166188","37.7607321","Mission","9","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"Bedazzled","2000","Vaillancourt Fountain (Justin Herman Plaza)","Installed in 1975, the Vaillancourt Fountain is officially titled, ""Québec Libre!"". The night before the sculpture's inauguration, artist Armand Vaillancourt inscribed ""Québec libre!"" in red letters on the sculpture. The next day when he noticed that the note had been erased, Vaillancourt jumped on the statue to re-inscribe his message.","Twentieth Century Fox Film Corp.","Twentieth Century Fox Film Corp.","Harold Ramis","Harold Ramis","Brendan Fraser","Elizabeth Hurley",,"POINT (-122.3953583 37.7954828)","-122.3953583","37.7954828","Financial District/South Beach","3","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"The Lineup","1958","2090 Jackson Street",,"Pajemer Productions","Columbia Pictures","Don Siegel","Stirling Silliphant","Eli Wallach","Robert Keith","Richard Jaeckel","POINT (-122.4294853 37.7933789)","-122.4294853","37.7933789","Pacific Heights","2","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"Big Eyes","2014","1101 Filbert St.",,"Blink & Wink Productions","Weinstein Company","Tim Burton","Scott Alexander","Amy Adams","Krysten Ritter","Christoph Waltz","POINT (-122.4177694 37.8001879)","-122.4177694","37.8001879","Russian Hill","3","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"Class Action","1991","Mission Dolores (3321 16th Street, Mission District)","Mission Dolores' official name is Mission San Francisco de Assis. It is the oldest building in San Francisco, built in 1791, and has survived two major earthquakes.","Interscope Communications","Twentieth Century Fox Film Corp.","Michael Apted","Carolyn Shelby","Gene Hackman","Mary Elizabeth Mastrantonio",,"POINT (-122.4271581 37.7643792)","-122.4271581","37.7643792","Castro/Upper Market","8","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"Murder in the First, Season 2","2015","Stevenson Alley",,"Turner North Center Productions","Turner Network Television (TNT)","Steven Bochcho","Eric Lodal","Taye Diggs","Kathleen Robertson","Ian Anthony Dale","POINT (-122.4113408 37.7805058)","-122.4113408","37.7805058","South of Market","6","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"Joy Luck Club","1993","180 Manchester Street",,"Hollywood Pictures","National Broadcasting Company (NBC)","Wayne Wang","Amy Tan","Kieu Chinh","Tsai Chin","France Nuyen","POINT (-122.4143318 37.7442142)","-122.4143318","37.7442142","Bernal Heights","9","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"Play it Again, Sam","1972","Hyde Street Cable Car",,"Paramount Pictures","Paramount Pictures","Herbert Ross","Woody Allen","Woody Allen","Diane Keaton","Tony Roberts","POINT (-122.4210347 37.8068789)","-122.4210347","37.8068789","Russian Hill","2","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"Final Analysis","1992","City Hall","The dome of SF's City Hall is almost a foot taller than that of the US Capitol Building. In 1954, Joe DiMaggio and Marilyn Monroe married at the Beaux Arts-style building.","Warner Bros. Pictures","Warner Bros. Pictures","Phil Joanou","Robert Berger","Richard Gere","Kim Basinger",,"POINT (-122.4192417 37.779275)","-122.4192417","37.779275","Tenderloin","5","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"Smile Again, Jenny Lee","2015","883 42nd Ave.",,"Carlo Caldana/Marguery Films",,"Carlo Caldana","Linda Demetrick","Craig Tsuyumine","Puneet Prasad","Larry Kitagawa","POINT (-122.5027384 37.7720857)","-122.5027384","37.7720857","Outer Richmond","1","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"Beautiful Boy","2018","18th St at San Bruno Ave.",,"Big Indie Pictures","Amazon Studios","Felix van Groeningen","Luke Davies","Steve Carell","Timothee Chalamet","Maura Tierney","POINT (-122.4052356 37.7620145)","-122.4052356","37.7620145","Potrero Hill","10","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"Greed","1924","Hayes Street at Laguna",,"Metro-Goldwyn-Mayer (MGM)","Metro-Goldwyn-Mayer (MGM)","Eric von Stroheim","Eric von Stroheim","Zasu Pitts","Gibson Gowland","Jean Hersholt","POINT (-122.4262877 37.7764735)","-122.4262877","37.7764735","Hayes Valley","5","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"The Jazz Singer","1927","Coffee Dan's (O'Farrell Street at Powell)",,"Warner Bros. Pictures","Warner Bros. Pictures","Alan Crosland","Alfred A. Cohn","Al Jolson","May McAvoy","Warner Oland","POINT (-122.4104948 37.7975607)","-122.4104948","37.7975607","Chinatown","3","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"The Phone/Jexi","2019","956 Pierce St",,"CBS Films Inc.","Lionsgate","Jon Lucas, Scott Moore","Jon Lucas, Scott Moore","Adam Devine","Alexandra Shipp","Michael Pena","POINT (-122.4349331 37.7788628)","-122.4349331","37.7788628","Western Addition","5","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"Looking Season 2 ep 207","2015","Valenti, Marini, Perata, 4840 Mission Street",,"Mission Street Productions, LLC","HBO","Andrew Haigh","Michael Lannan","Jonathan Groff","Frankie Alvarez","Murray Bartlett","POINT (-122.4381822 37.7205765)","-122.4381822","37.7205765","Outer Mission","11","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"The Pursuit of Happyness","2006","Candlestick Park (602 Jamestown Ave.)","Then Vice President Richard Nixon threw out the first pitch when Candlestick opened in 1960. On August 29, 1966, The Beatles played their last concert for paying fans at Candlestick Park.","Columbia Pictures Corporation","Columbia Pictures","Steven Conrad","Gabriele Muccino","Will Smith","Jayden C. Smith",,"POINT (-122.3857003 37.7135483)","-122.3857003","37.7135483","Bayview Hunters Point","10","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"Ant-Man and the Wasp","2018","Powell St btwn North Point and Embarcadero","Location of film headquarters","PYM Particles Productions II, LLC","Walt Disney Studios Motion Pictures","Peyton Reed","Chris McKenna","Paul Rudd","Evangeline Lilly","Michael Douglas","POINT (-122.412038 37.806666)","-122.412038","37.806666","North Beach","3","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"The Right Stuff","1983","Cow Palace","Supposedly, the Cow Palace's name derives from a newspaper editorial in which the writer wonders whether the soon-to-be-built structure for livestock was a ""palace for cows"".","The Ladd Company","The Ladd Company","Philip Kaufman","Philip Kaufman","Sam Shepard","Scott Glenn","Ed Harris","POINT (-122.4204998 37.7074392)","-122.4204998","37.7074392",,,"2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"Raising Cain","1992",,,"Pacific Western","Universal Pictures","Brian DePalma","Brian DePalma","John Lithgow",,,,,,,,"2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"Take the Money and Run","1969","Bank of America (1455 Stockton Street)",,"American Broadcasting Company (ABC)","Cinerama Releasing Corporation","Woody Allen","Woody Allen","Woody Allen","Janet Margolin",,"POINT (-122.4092516 37.7993084)","-122.4092516","37.7993084","Chinatown","3","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"Hemingway & Gelhorn","2011","Muni Metro East (501 Cesar Chavez)",,"Attaboy Films, For Whom Productions, Home Box Office (HBO)","Home Box Office (HBO)","Philip Kaufman","Jerry Stahl & Barbara Turner","Nicole Kidman","Clive Owen",,"POINT (-122.3827431 37.7500802)","-122.3827431","37.7500802","Bayview Hunters Point","10","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"Nash Bridges","2021","Icehouse at Green Street",,"Village NB Productions, LLC","USA Nework","Greg Beeman","Carlton Cuse, Bill Chais","Don Johnson","Cheech Marin","Joe Dinicol","POINT (-122.4021742 37.8007544)","-122.4021742","37.8007544","Financial District/South Beach","3","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"GirlBoss","2017","Clayton Post Office, 554 Clayton St.",,"Hippolyta Productions, LLC","Netflix","Jamie Babbit, Amanda Brotchie, Steven K. Tsuchida, Christian Ditter, John Riggi","Kay Cannon","Britt Robertson","Ellie Reed","Amanda Rea","POINT (-122.4483557 37.7700404)","-122.4483557","37.7700404","Haight Ashbury","5","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"Looking Season 2 ep 203","2015","770 Haight Street",,"Mission Street Productions, LLC","HBO","Andrew Haigh","Michael Lannan","Jonathan Groff","Frankie Alvarez","Murray Bartlett","POINT (-122.43489 37.771831)","-122.43489","37.771831","Haight Ashbury","5","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"Women is Losers","2020","44 Edna St",,"Look at the Moon Pictures",,"Lissette Feliciano","Lissette Feliciano","Lorenza Izzo","Simu Liu","Liza Weil","POINT (-122.4463975 37.7272728)","-122.4463975","37.7272728","West of Twin Peaks","7","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"Super Pumped: The Battle for Uber","2022","Alameda St. between Vermont St. & San Bruno Ave.",,"Possible Productions","Showtime","Allen Coulter, Daniel Gray Longino, John Dahl, Zetna Fuentes","Brian Koppelman & David Levien, Sarah Acosta, Stephen Schiff, Emily Hornsby, Safie M. Dirie, Beth Schacter","Joseph Gordon-Levitt","Kyle Chandler","Kerry Bishé",,,,,,"2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"Nine Months","1995","60 Spear Street",,"1492 Pictures","Twentieth Century Fox Film Corp.","Chris Columbus","Chris Columbus","Hugh Grant","Julianne Moore","Robin Williams","POINT (-122.3946185 37.7926608)","-122.3946185","37.7926608","Financial District/South Beach","6","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"San Andreas","2015","2nd St. at Townsend St.",,"Upside Down Productions, Inc.","Warner Bros.","Brad Peyton","Allan Loeb","Dwayne Johnson",,,"POINT (-122.3907 37.78083)","-122.3907","37.78083","Financial District/South Beach","6","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"Steve Jobs","2015","Sutter-Stockton Garage (444  Stockton)",,"RDF Productions LLC","Universal Pictures","Danny Boyle","Aaron Sorkin","Michael Fassbender","Kate Winslet","Seth Rogen","POINT (-122.4066034 37.7901055)","-122.4066034","37.7901055","Financial District/South Beach","3","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"The Caine Mutiny","1954","Golden Gate Bridge","With 23 miles of ladders and 300,000 rivets in each tower, the Golden Gate Bridge was the world's longest span when it opened in 1937.","Stanley Kramer Productions","Columbia Pictures","Edward Dmytryk","Stanley Roberts","Humphrey Bogart","Fred MacMurray","Jose Ferrer","POINT (-122.4785598 37.8199109)","-122.4785598","37.8199109",,,"2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"Chance Season 2","2017","Embarcadero at Vallejo St.",,"TVM Productions Inc.","Hulu","Rozann Dawson","Alexandra Cunningham","Hugh Laurie","Greta Lee","Ethan Suplee","POINT (-122.4229802 37.7967933)","-122.4229802","37.7967933","Russian Hill","3","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"Shit and Champagne","2020","Cargo Way at Jenning St",,"Shaboom Boom, LLC",,"D'Arcy Drollinger","D'Arcy Drollinger","D'Arcy Drollinger","Matthew Martin","Steven LeMay","POINT (-122.3769148 37.7401689)","-122.3769148","37.7401689","Bayview Hunters Point","10","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"Murder in the First, Season 3","2016","Red's Java House (Pier 30)",,"Turner North Center Productions","Turner Network Television (TNT)","Steven Bochcho","Eric Lodal","Taye Diggs","Kathleen Robertson","Ian Anthony Dale","POINT (-122.3874201 37.7872065)","-122.3874201","37.7872065","Financial District/South Beach","6","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"The Phone/Jexi","2019","Market at Cyril Magnin",,"CBS Films Inc.","Lionsgate","Jon Lucas, Scott Moore","Jon Lucas, Scott Moore","Adam Devine","Alexandra Shipp","Michael Pena","POINT (-122.4080903 37.784)","-122.4080903","37.784","Tenderloin","6","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"Goliath- Season 4","2021","Merchants Exchange, 465 California St",,"Picrow, Inc.","Amazon Studios","Billy Bob Thornton, Lawrence Trilling, Derek Johansen","David E. Kelley, Jonathan Shapiro","Billy Bob Thornton","Nina Arianda","Tania Raymonde","POINT (-122.402205 37.7927819)","-122.402205","37.7927819","Financial District/South Beach","3","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"Etruscan Smile","2017","California Street between Front and Davis",,"Po Valley Productions, LLC","TBD","Oded Binnun/ Michel Brezis","Sarah Bellwood, Michal Lali Kagan, Michael McGowan Amital Stern, Jose Luis Sampedro","Brian Cox","Roseanne Arquette","Thora Birch","POINT (-122.3988062 37.7933714)","-122.3988062","37.7933714","Financial District/South Beach","3","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"Nash Bridges","2021","Mission Street between 5th Street and 6th Street",,"Village NB Productions, LLC","USA Nework","Greg Beeman","Carlton Cuse, Bill Chais","Don Johnson","Cheech Marin","Joe Dinicol","POINT (-122.4085177 37.7810198)","-122.4085177","37.7810198","South of Market","6","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"Foul Play","1978","Fort Point, Presidio","Built in 1853, Fort Point is the only West Coast fort built by the Union Army. Though the Confederate army planned to attack San Francisco, the commanding Confederate general learned that the war had ended while end route to SF.","Paramount Pictures","Paramount Pictures","Colin Higgins","Colin Higgins","Goldie Hawn","Chevy Chase","Burgess Meredith","POINT (-122.47709 37.8106117)","-122.47709","37.8106117","Presidio","2","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"Flower Drum Song","1961","Chinatown","First established in the mid-19th Century, SF's Chinatown is the oldest and largest Chinatown in the US.","Fields Productions","Universal Pictures","Henry Koster","Joseph Fields","Nancy Kwan","James Shigeta","Benson Fong","POINT (-122.4048082 37.7944675)","-122.4048082","37.7944675","Chinatown","3","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"Shang-Chi and the Legend of the Ten Rings","2021","Jones between Post and California",,"Freelance Restorations LLC","Disney/Marvel","Destin Daniel Cretton","Dave Callaham, Destin Daniel Cretton, Andrew Lanham","Simu Liu","Tony Chiu-Wai Leung","Awkwafina","POINT (-122.4134944 37.7878251)","-122.4134944","37.7878251","Nob Hill","3","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"Terminator - Genisys","2015","Market at Mason",,"T5 Productions LLC","Paramount Pictures","Alan Taylor","James Cameron","Arnold Schwarzenegger","Jason Clarke",,"POINT (-122.409079 37.7832138)","-122.409079","37.7832138","South of Market","6","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"The Dead Pool","1988","San Francisco Drydock (The Dogpatch)",,"Warner Bros. Pictures","Warner Bros. Pictures","Buddy Van Horn","Harry Julian Fink","Clint Eastwood","Liam Neeson","Patricia Clarkson","POINT (-122.3866097 37.760628)","-122.3866097","37.760628","Potrero Hill","10","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"Take the Money and Run","1969","Golden Gate Park",,"American Broadcasting Company (ABC)","Cinerama Releasing Corporation","Woody Allen","Woody Allen","Woody Allen","Janet Margolin",,"POINT (-122.482977 37.7689203)","-122.482977","37.7689203","Golden Gate Park","4","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"Freebie and the Bean","1974","Stockton Tunnel (Stockton Street at Sutter Street)","Opened in 1914, the Stockton Tunnel was built to provide North Beach residents access to the thriving downtown area.","Warner Bros. Pictures","American Broadcasting Company (ABC)","Richard Rush","Robert Kaufman","Alan Arkin","James Caan","Loretta Swit","POINT (-122.4076596 37.7927749)","-122.4076596","37.7927749","Chinatown","3","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"The Rock","1996","Alcatraz Island","Alcatraz Island was a military fort before it became a prison.","Hollywood Pictures","Buena Vista Pictures","Michael Bay","David Weisberg","Sean Connery","Nicolas Cage",,"POINT (-122.4230122 37.8266636)","-122.4230122","37.8266636",,,"2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"Chance- Season 1 ep108","2016","Fairmont Hotel","The Fairmont Hotel was featured in many films, including The Rock and the TV series Hotel","TVM Productions","HULU","Peter Elkoff and Victoria Morrow","Andrew Bernstein","Hugh Laurie","Gretchen Mol","Ethan Suplee","POINT (-122.4104443 37.7923897)","-122.4104443","37.7923897","Nob Hill","3","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"Venom: Let There Be Carnage","2021","O'Farrell between Leavenworth and Jones",,"SM Film Productions","Sony Pictures","Andy Serkis","Kelly Marcel","Tom Hardy","Michelle Wiliams","Woody Harrelson","POINT (-122.4142543 37.7855844)","-122.4142543","37.7855844","Tenderloin","5","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"The OA Part II","2019","Mission Rock at 3rd St",,"Lunar Mining LLC","Netflix","Zal Batmanglij","Zal Batmanglij, Brit Marling","Brit Marling","Emory Cohen","Patrick Gibson","POINT (-122.3896032 37.7729525)","-122.3896032","37.7729525","Mission Bay","6","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"Chance- Season 1 ep109","2016","Ocean Park Motel",,"TVM Productions","HULU","Sara Gran and Pete Begler","Dan Attias","Hugh Laurie","Gretchen Mol","Ethan Suplee","POINT (-122.5038779 37.7363439)","-122.5038779","37.7363439","Sunset/Parkside","4","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"Women is Losers","2020","1132 Florida St",,"Look at the Moon Pictures",,"Lissette Feliciano","Lissette Feliciano","Lorenza Izzo","Simu Liu","Liza Weil","POINT (-122.4104406 37.7537848)","-122.4104406","37.7537848","Mission","9","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"Heart and Souls","1993","Conservatory of Flowers (Golden Gate Park)","The Conservatory, unveiled in 1879, is the oldest public conservatory in the Western Hemisphere.","Universal Pictures","Electric Parc","Tomas Gislason","Tomas Gislason","Jorgen Leth",,,"POINT (-122.4602558 37.7726187)","-122.4602558","37.7726187","Golden Gate Park","1","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"Swing","2003","Regency Building (1290 Sutter Street)",,"unlisted","Crazy Dreams Entertainment","Martin Guigui","Mary Keil","Constance Brenneman",,,"POINT (-122.4214374 37.7877221)","-122.4214374","37.7877221","Nob Hill","3","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"Dawn of the Planet of the Apes","2014","City Hall",,"Fox Louisiana Productions, LLC","Twentieth Century Fox","Matt Reeves","Rick Jaffa","Gary Oldman","Keri Russell","Andy Serkis","POINT (-122.4192417 37.779275)","-122.4192417","37.779275","Tenderloin","5","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"The Game","1997","Stockton Tunnel Southern Approach Overhang (Bush & Stockton Streets, Chinatown)","Opened in 1914, the Stockton Tunnel was built to provide North Beach residents access to the thriving downtown area.","Polygram Filmed Entertainment","Polygram Filmed Entertainment","David Fincher","John Brancato","Michael Douglas","Sean Penn","Deborah Kara Unger","POINT (-122.4069884 37.7900488)","-122.4069884","37.7900488","Financial District/South Beach","3","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"Venom: Let There Be Carnage","2021","Antonio Street",,"SM Film Productions","Sony Pictures","Andy Serkis","Kelly Marcel","Tom Hardy","Michelle Wiliams","Woody Harrelson","POINT (-122.4133903 37.7852589)","-122.4133903","37.7852589","Tenderloin","5","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"Joy Luck Club","1993","Horace Mann School (3351 23rd Street)",,"Hollywood Pictures","National Broadcasting Company (NBC)","Wayne Wang","Amy Tan","Kieu Chinh","Tsai Chin","France Nuyen","POINT (-122.4199151 37.7532586)","-122.4199151","37.7532586","Mission","9","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"Shit and Champagne","2020","Green at Jones St",,"Shaboom Boom, LLC",,"D'Arcy Drollinger","D'Arcy Drollinger","D'Arcy Drollinger","Matthew Martin","Steven LeMay","POINT (-122.412987 37.787177)","-122.412987","37.787177","Tenderloin","3","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"Twisted","2004","Pier 24",,"Paramount Pictures","Paramount Pictures","Philip Kaufman","Sarah Thorp","Ashley Judd","Samuel L. Jackson",,"POINT (-122.3877404 37.7894312)","-122.3877404","37.7894312","Financial District/South Beach","6","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"Pal Joey","1957","Coit Tower","The Tower was funded by a gift bequeathed by Lillie Hitchcock Coit, a socialite who reportedly liked to chase fires. Though the tower resembles a firehose nozzle, it was not designed this way.","Columbia Pictures Corporation","Columbia Pictures","George Sidney","Dorothy Kingsley","Rita Hayworth","Frank Sinatra","Kim Novak","POINT (-122.4058222 37.8023949)","-122.4058222","37.8023949","North Beach","3","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"The Rock","1996","The San Francisco Bay",,"Hollywood Pictures","Buena Vista Pictures","Michael Bay","David Weisberg","Sean Connery","Nicolas Cage",,"POINT (-122.3863551 37.771241)","-122.3863551","37.771241","Mission Bay","6","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"Looking Season 2 ep 204","2015","1890 Clay Street",,"Mission Street Productions, LLC","HBO","Andrew Haigh","Michael Lannan","Jonathan Groff","Frankie Alvarez","Murray Bartlett","POINT (-122.4238729 37.7922528)","-122.4238729","37.7922528","Pacific Heights","2","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"Play it Again, Sam","1972","15-17 Fresno Street",,"Paramount Pictures","Paramount Pictures","Herbert Ross","Woody Allen","Woody Allen","Diane Keaton","Tony Roberts","POINT (-122.4059264 37.7985508)","-122.4059264","37.7985508","North Beach","3","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"What's Up Doc?","1972","Alta Plaza Park (Steiner Street)","The park was originally a rock quarry and served as a campground for many survivors of the 1906 earthquake. The site was converted to a park in 1910.","Warner Bros. Pictures","Warner Bros. Pictures","Peter Bogdanovich","Peter Bogdanovich & Buck Henry","Barbra Streisand","Ryan O'Neal",,"POINT (-122.4377047 37.791209)","-122.4377047","37.791209","Pacific Heights","2","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"The Phone/Jexi","2019","Grant Ave at Green St",,"CBS Films Inc.","Lionsgate","Jon Lucas, Scott Moore","Jon Lucas, Scott Moore","Adam Devine","Alexandra Shipp","Michael Pena","POINT (-122.4074198 37.7997083)","-122.4074198","37.7997083","North Beach","3","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"Ant-Man","2015","Broadway between Powell and Davis","Driving shots","PYM Particles Productions, LLC","Walt Disney Studios Motion Pictures","Peyton Reed","Gabriel Ferrari","Michael Douglas","Paul Rudd",,"POINT (-122.4074424 37.7977897)","-122.4074424","37.7977897","Chinatown","3","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"San Andreas","2015","Vallejo Garage Roof (Vallejo at Powell)",,"Upside Down Productions, Inc.","Warner Bros.","Brad Peyton","Allan Loeb","Dwayne Johnson",,,"POINT (-122.4100057 37.79856)","-122.4100057","37.79856","Chinatown","3","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"Sense8","2015","Market St. overpass","Bicycle chase scene","Unpronounceable Productions, LLC","Netflix","The Wachowskis","The Wachowskis","Jamie Clayton",,,"POINT (-122.4212203 37.7735081)","-122.4212203","37.7735081","Mission","6","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"Copycat","1995","Treasure Island","An artificial island, Treasure Island was created for the 1939 Golden Gate International Exposition, and is named after the novel by Robert Louis Stevenson, a one-time San Francisco resident.","Regency Enterprises","Warner Bros. Pictures","Jon Amiel","Ann Biderman","Sigourney Weaver","Holly Hunter",,"POINT (-122.3699786 37.825284)","-122.3699786","37.825284","Treasure Island","6","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"Copycat","1995","Sound Factory (1st and Harrison Streets)",,"Regency Enterprises","Warner Bros. Pictures","Jon Amiel","Ann Biderman","Sigourney Weaver","Holly Hunter",,"POINT (-122.3929881 37.7860548)","-122.3929881","37.7860548","Financial District/South Beach","6","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
