id,lat,lon,name,type,operator,route_ref,network,wheelchair,shelter,bench,bus,tram,subway,light_rail
node/6603438356,37.6935181,-122.4651913,El Camino Real & School Street,bus_stop,SamTrans,,SamTrans,,yes,,yes,,,
node/6603438357,37.6928656,-122.4650341,El Camino Real & Price Street,public_transport:stop_position,SamTrans,,SamTrans,,,,yes,,,
node/6603438358,37.6928455,-122.4649376,El Camino Real & Price Street,bus_stop,SamTrans,,SamTrans,,,,yes,,,
node/6603438359,37.6893125,-122.466393,San Pedro Road & El Camino Real,public_transport:stop_position,SamTrans,,SamTrans,,,,yes,,,
node/6603438360,37.6893603,-122.4664477,San Pedro Road & El Camino Real,bus_stop,San Mateo County Transit District,,SamTrans,,,,yes,,,
node/6603438361,37.68873,-122.4662672,El Camino Real & San Pedro Road,bus_stop,San Mateo County Transit District,,SamTrans,,,,yes,,,
node/6603438362,37.6890132,-122.4660026,El Camino Real & East Market Street,public_transport:stop_position,SamTrans,,SamTrans,,,,yes,,,
node/6603438363,37.6890085,-122.4658845,El Camino Real & East Market Street,bus_stop,San Mateo County Transit District,,SamTrans,,yes,yes,yes,,,
node/6603438364,37.6828489,-122.463583,El Camino Real & F Street,public_transport:stop_position,SamTrans,,SamTrans,,,,yes,,,
node/6603438365,37.6828374,-122.4636708,El Camino Real & F Street,bus_stop,San Mateo County Transit District,,SamTrans,,,,yes,,,
node/6603438366,37.6801927,-122.4620377,El Camino Real & Colma Boulevard,public_transport:stop_position,SamTrans,,SamTrans,,,,yes,,,
node/6603438367,37.6801452,-122.4621142,El Camino Real & Colma Boulevard,bus_stop,San Mateo County Transit District,,SamTrans,,,,yes,,,
node/6603438368,37.6798591,-122.4614518,El Camino Real & Colma Boulevard,public_transport:stop_position,SamTrans,,SamTrans,,,,yes,,,
node/6603438369,37.6799117,-122.4613646,El Camino Real & Colma Boulevard,bus_stop,San Mateo County Transit District,,SamTrans,,,,yes,,,
node/6603438370,37.6763788,-122.4581647,El Camino Real & Serramonte Boulevard,public_transport:stop_position,SamTrans,,SamTrans,,,,yes,,,
node/6603438371,37.6763281,-122.458238,El Camino Real & Serramonte Boulevard,bus_stop,SamTrans,,SamTrans,,,,yes,,,
node/6603438372,37.6762471,-122.457595,El Camino Real & Serramonte Boulevard,bus_stop,San Mateo County Transit District,,SamTrans,,,,yes,,,
node/6603438373,37.6735469,-122.4548394,El Camino Real & Old Mission Road,public_transport:stop_position,SamTrans,,SamTrans,,,,yes,,,
node/6603438374,37.6735119,-122.4548895,El Camino Real & Old Mission Road,bus_stop,SamTrans,,SamTrans,,,,yes,,,
node/6603438375,37.6740311,-122.4551101,El Camino Real & Old Mission Road,public_transport:stop_position,SamTrans,,SamTrans,,,,yes,,,
node/6603438376,37.6740906,-122.4550305,El Camino Real & Old Mission Road,bus_stop,SamTrans,,SamTrans,,,,yes,,,
node/6603473299,37.6701209,-122.4530066,El Camino Real & Arlington Drive,public_transport:stop_position,SamTrans,,SamTrans,,,,yes,,,
node/6603473301,37.6702389,-122.4532322,El Camino Real & Arlington Drive,bus_stop,SamTrans,,SamTrans,,,,yes,,,
node/6603473302,37.6705589,-122.4531742,El Camino Real & Arlington Drive,bus_stop,SamTrans,,SamTrans,,,,yes,,,
node/6603473303,37.6643079,-122.4488032,1600 El Camino Real,public_transport:stop_position,SamTrans,,SamTrans,,,,yes,,,
node/6603473304,37.6643696,-122.4487318,1600 El Camino Real,bus_stop,SamTrans,,SamTrans,,,,yes,,,
node/6603473305,37.6621134,-122.4436844,El Camino Real & Alta Loma Stairway,public_transport:stop_position,SamTrans,,SamTrans,,,,yes,,,
node/6603473306,37.6620556,-122.4437487,El Camino Real & Alta Loma Stairway,bus_stop,SamTrans,,SamTrans,,,,yes,,,
node/6604043649,37.5861093,-122.3695873,El Camino Real & Easton Drive,public_transport:stop_position,SamTrans,,SamTrans,,,,yes,,,
node/6604043650,37.5861642,-122.3695355,El Camino Real & Easton Drive,bus_stop,SamTrans,,SamTrans,,,,yes,,,
node/6604043651,37.5859168,-122.3692626,El Camino Real & Easton Drive,public_transport:stop_position,SamTrans,,SamTrans,,,,yes,,,
node/6604043652,37.5858509,-122.3693249,El Camino Real & Easton Drive,bus_stop,SamTrans,,SamTrans,,,,yes,,,
node/6604043653,37.587719,-122.372291,El Camino Real & Hillside Drive,public_transport:stop_position,SamTrans,,SamTrans,,,,yes,,,
node/6604043654,37.5877808,-122.3722324,El Camino Real & Hillside Drive,bus_stop,SamTrans,,SamTrans,,,,yes,,,
node/6604043655,37.5873362,-122.3716482,El Camino Real & Hillside Drive,public_transport:stop_position,SamTrans,,SamTrans,,,,yes,,,
node/6604043656,37.5872831,-122.3716986,El Camino Real & Hillside Drive,bus_stop,SamTrans,,SamTrans,,,,yes,,,
node/6604043657,37.589302,-122.3749722,El Camino Real & Adeline Drive,public_transport:stop_position,SamTrans,,SamTrans,,,,yes,,,
node/6604043658,37.5892915,-122.375108,El Camino Real & Adeline Drive,bus_stop,San Mateo County Transit District,,SamTrans,,,,yes,,,
node/6604043659,37.5894113,-122.3751583,El Camino Real & Adeline Drive,public_transport:stop_position,SamTrans,,SamTrans,,,,yes,,,
node/6604043660,37.5894678,-122.375105,El Camino Real & Adeline Drive,bus_stop,San Mateo County Transit District,,SamTrans,,,,yes,,,
node/6604043661,37.5907496,-122.3776074,El Camino Real & Bay Drive,public_transport:stop_position,SamTrans,,SamTrans,,,,yes,,,
node/6604043662,37.5906703,-122.3776753,El Camino Real & Bay Drive,bus_stop,San Mateo County Transit District,,SamTrans,,,,yes,,,
node/6604043663,37.5911743,-122.3783971,El Camino Real & Rosedale Avenue,public_transport:stop_position,SamTrans,,SamTrans,,,,yes,,,
node/6604043664,37.5912394,-122.3782608,El Camino Real & Rosedale Avenue,bus_stop,San Mateo County Transit District,,SamTrans,,yes,yes,yes,,,
node/6604043665,37.5950158,-122.3836691,El Camino Real & Trousdale Drive,public_transport:stop_position,SamTrans,,SamTrans,,,,yes,,,
node/6604043666,37.5950328,-122.3834928,El Camino Real & Trousdale Drive,bus_stop,San Mateo County Transit District,,SamTrans,,,,yes,,,
node/6604043667,37.5941778,-122.3829001,El Camino Real & Trousdale Drive,public_transport:stop_position,SamTrans,,SamTrans,,,,yes,,,
node/6604043668,37.5941612,-122.3830506,El Camino Real & Trousdale Drive,bus_stop,San Mateo County Transit District,,SamTrans,,,,yes,,,
node/6604045535,37.5962977,-122.3854978,El Camino Real & Murchison Drive,public_transport:stop_position,San Mateo County Transit District,,SamTrans,,,,yes,,,
node/6604045536,37.5962375,-122.3855815,El Camino Real & Murchison Drive,bus_stop,San Mateo County Transit District,,SamTrans,,,,yes,,,
node/6604045537,37.6008973,-122.3899456,El Camino Real & Victoria Avenue,public_transport:stop_position,San Mateo County Transit District,,SamTrans,,,,yes,,,
node/6604045538,37.6009563,-122.389847,El Camino Real & Victoria Avenue,bus_stop,San Mateo County Transit District,,SamTrans,,,,yes,,,
node/6604045539,37.602216,-122.3915278,El Camino Real & Hillcrest Boulevard,public_transport:stop_position,SamTrans,,SamTrans,,,,yes,,,
node/6604045540,37.6022762,-122.391445,El Camino Real & Hillcrest Boulevard,bus_stop,San Mateo County Transit District,,SamTrans,,,,yes,,,
node/6604045541,37.6025744,-122.3924654,El Camino Real & Taylor Boulevard,public_transport:stop_position,SamTrans,,SamTrans,,,,yes,,,
node/6604045542,37.6025263,-122.392514,El Camino Real & Taylor Boulevard,bus_stop,San Mateo County Transit District,,SamTrans,,,,yes,,,
node/6604045545,37.6040797,-122.3941962,El Camino Real & Silva Avenue,public_transport:stop_position,SamTrans,,SamTrans,,,,yes,,,
node/6604045546,37.6041433,-122.394126,El Camino Real & Silva Avenue,bus_stop,San Mateo County Transit District,,SamTrans,,,,yes,,,
node/6604045547,37.6038618,-122.3941537,El Camino Real & Silva Avenue,public_transport:stop_position,SamTrans,,SamTrans,,,,yes,,,
node/6604045548,37.6037959,-122.394222,El Camino Real & Silva Avenue,bus_stop,San Mateo County Transit District,,SamTrans,,,,yes,,,
node/6604045549,37.6055909,-122.396479,El Camino Real & Meadow Glen Avenue,public_transport:stop_position,SamTrans,,SamTrans,,,,yes,,,
node/6604045550,37.6055431,-122.396538,El Camino Real & Meadow Glen Avenue,bus_stop,San Mateo County Transit District,,SamTrans,,,,yes,,,
node/6604045551,37.6062129,-122.397029,El Camino Real & Meadow Glen Avenue,public_transport:stop_position,SamTrans,,SamTrans,,,,yes,,,
node/6604045552,37.6062748,-122.396954,El Camino Real & Meadow Glen Avenue,bus_stop,San Mateo County Transit District,,SamTrans,,yes,yes,yes,,,
node/6604045553,37.6074681,-122.3987615,El Camino Real & Center Street (Millbrae),public_transport:stop_position,SamTrans,,SamTrans,,,,yes,,,
node/6604045554,37.6074273,-122.3988267,El Camino Real & Center Street (Millbrae),bus_stop,SamTrans,,SamTrans,,,,yes,,,
node/6604045555,37.6079708,-122.3990344,El Camino Real & Center Street (Millbrae),public_transport:stop_position,SamTrans,,SamTrans,,,,yes,,,
node/6604045556,37.6080312,-122.3989428,El Camino Real & Center Street (Millbrae),bus_stop,SamTrans,,SamTrans,,,,yes,,,
node/6604045557,37.6102669,-122.401287,El Camino Real & Millwood Drive,public_transport:stop_position,SamTrans,,SamTrans,,,,yes,,,
