"street_address","city","state","zip_code","artist","year","number_of_districts","cultural_districts","supervisor_district","analysis_neighborhood","the_geom","data_as_of","data_loaded_at"
"107 Sagamore Street","San Francisco","California","94112",,,"0",,"11","Oceanview/Merced/Ingleside","POINT (-122.456339471 37.711182306)","2024/04/17 12:56:29 PM","2024/04/25 01:43:43 PM"
"1641 La Salle Avenue","San Francisco","California","94124","Francisco Aquino","2013/14","1","African American Arts & Cultural District","10","Bayview Hunters Point","POINT (-122.389680692 37.736891108)","2024/04/17 12:56:29 PM","2024/04/25 01:43:43 PM"
"1000 Potrero Avenue","San Francisco","California","94110","Max Ehrman","2009/10","1","Calle 24 Latino Cultural District","09","Mission","POINT (-122.406949809 37.755986617)","2024/04/17 12:56:29 PM","2024/04/25 01:43:43 PM"
"1089 Market Street","San Francisco","California","94103","Tirso Gonzalez","2010/11","1","SOMA Pilipinas Cultural District","06","South of Market","POINT (-122.411903969 37.780430934)","2024/04/17 12:56:29 PM","2024/04/25 01:43:43 PM"
"1601 Fillmore Street","San Francisco","California","94115","Shawn Bullen","2013/14","1","Japantown Cultural District","05","Japantown","POINT (-122.433429788 37.784567898)","2024/04/17 12:56:29 PM","2024/04/25 01:43:43 PM"
"485 Scott Street","San Francisco","California","94117","Marina Perez-Wong","2009/10","0",,"05","Hayes Valley","POINT (-122.436152602 37.774119831)","2024/04/17 12:56:29 PM","2024/04/25 01:43:43 PM"
"4744 3rd Street","San Francisco","California","94124","Mel Waters","2014/15","1","African American Arts & Cultural District","10","Bayview Hunters Point","POINT (-122.390955548 37.735124957)","2024/04/17 12:56:29 PM","2024/04/25 01:43:43 PM"
"93 Monterey Boulevard","San Francisco","California","94131","Vera Lowdermilk","2010/11","0",,"07","West of Twin Peaks","POINT (-122.437314766 37.731409925)","2024/04/17 12:56:29 PM","2024/04/25 01:43:43 PM"
"21st Street and Mission Street","San Francisco","California","94110","Mel Waters","2014/15","0",,"09","Mission","POINT (-122.418914242 37.757040345)","2024/04/17 12:56:29 PM","2024/04/25 01:43:43 PM"
"3215 21st Street","San Francisco","California","94110","Sirron Norris","2019","0",,"09","Mission","POINT (-122.419392062 37.756799905)","2024/04/17 12:56:29 PM","2024/04/25 01:43:43 PM"
"1620 Armstrong Avenue","San Francisco","California","94124","Blake Westrate","2010/11","1","African American Arts & Cultural District","10","Bayview Hunters Point","POINT (-122.3924901 37.726861013)","2024/04/17 12:56:29 PM","2024/04/25 01:43:43 PM"
"4744 3rd Street","San Francisco","California","94124","Francisco Aquino","2011/12","1","African American Arts & Cultural District","10","Bayview Hunters Point","POINT (-122.390955548 37.735124957)","2024/04/17 12:56:29 PM","2024/04/25 01:43:43 PM"
"1054 Market Street","San Francisco","California","94102","Chor Boogie","2009/10","1","Compton’s Transgender Cultural District","05","Tenderloin","POINT (-122.411108853 37.781697595)","2024/04/17 12:56:29 PM","2024/04/25 01:43:43 PM"
"355 9th Street","San Francisco","California","94103","Kristin Brandt","2010/11","2","Leather & LGBTQ Cultural District;SOMA Pilipinas Cultural District","06","South of Market","POINT (-122.410851946 37.77318763)","2024/04/17 12:56:29 PM","2024/04/25 01:43:43 PM"
